总金额,小费,性别,是否吸烟,日期,时间,型号,吸烟性别综合
16.99,1.01,0,0,Sun,Dinner,2,0_0
10.34,1.66,1,0,Sun,Dinner,3,0_1
21.01,3.5,1,0,Sun,Dinner,3,0_1
23.68,3.31,1,0,Sun,Dinner,2,0_1
24.59,3.61,0,0,Sun,Dinner,4,0_0
25.29,4.71,1,0,Sun,Dinner,4,0_1
8.77,2.0,1,0,Sun,Dinner,2,0_1
26.88,3.12,1,0,Sun,Dinner,4,0_1
15.04,1.96,1,0,Sun,Dinner,2,0_1
14.78,3.23,1,0,Sun,Dinner,2,0_1
10.27,1.71,1,0,Sun,Dinner,2,0_1
35.26,5.0,0,0,Sun,Dinner,4,0_0
15.42,1.57,1,0,Sun,Dinner,2,0_1
18.43,3.0,1,0,Sun,Dinner,4,0_1
14.83,3.02,0,0,Sun,Dinner,2,0_0
21.58,3.92,1,0,Sun,Dinner,2,0_1
10.33,1.67,0,0,Sun,Dinner,3,0_0
16.29,3.71,1,0,Sun,Dinner,3,0_1
16.97,3.5,0,0,Sun,Dinner,3,0_0
20.65,3.35,1,0,Sat,Dinner,3,0_1
17.92,4.08,1,0,Sat,Dinner,2,0_1
20.29,2.75,0,0,Sat,Dinner,2,0_0
15.77,2.23,0,0,Sat,Dinner,2,0_0
39.42,7.58,1,0,Sat,Dinner,4,0_1
19.82,3.18,1,0,Sat,Dinner,2,0_1
17.81,2.34,1,0,Sat,Dinner,4,0_1
13.37,2.0,1,0,Sat,Dinner,2,0_1
12.69,2.0,1,0,Sat,Dinner,2,0_1
21.7,4.3,1,0,Sat,Dinner,2,0_1
19.65,3.0,0,0,Sat,Dinner,2,0_0
9.55,1.45,1,0,Sat,Dinner,2,0_1
18.35,2.5,1,0,Sat,Dinner,4,0_1
15.06,3.0,0,0,Sat,Dinner,2,0_0
20.69,2.45,0,0,Sat,Dinner,4,0_0
17.78,3.27,1,0,Sat,Dinner,2,0_1
24.06,3.6,1,0,Sat,Dinner,3,0_1
16.31,2.0,1,0,Sat,Dinner,3,0_1
16.93,3.07,0,0,Sat,Dinner,3,0_0
18.69,2.31,1,0,Sat,Dinner,3,0_1
31.27,5.0,1,0,Sat,Dinner,3,0_1
16.04,2.24,1,0,Sat,Dinner,3,0_1
17.46,2.54,1,0,Sun,Dinner,2,0_1
13.94,3.06,1,0,Sun,Dinner,2,0_1
9.68,1.32,1,0,Sun,Dinner,2,0_1
30.4,5.6,1,0,Sun,Dinner,4,0_1
18.29,3.0,1,0,Sun,Dinner,2,0_1
22.23,5.0,1,0,Sun,Dinner,2,0_1
32.4,6.0,1,0,Sun,Dinner,4,0_1
28.55,2.05,1,0,Sun,Dinner,3,0_1
18.04,3.0,1,0,Sun,Dinner,2,0_1
12.54,2.5,1,0,Sun,Dinner,2,0_1
10.29,2.6,0,0,Sun,Dinner,2,0_0
34.81,5.2,0,0,Sun,Dinner,4,0_0
9.94,1.56,1,0,Sun,Dinner,2,0_1
25.56,4.34,1,0,Sun,Dinner,4,0_1
19.49,3.51,1,0,Sun,Dinner,2,0_1
38.01,3.0,1,1,Sat,Dinner,4,1_1
26.41,1.5,0,0,Sat,Dinner,2,0_0
11.24,1.76,1,1,Sat,Dinner,2,1_1
48.27,6.73,1,0,Sat,Dinner,4,0_1
20.29,3.21,1,1,Sat,Dinner,2,1_1
13.81,2.0,1,1,Sat,Dinner,2,1_1
11.02,1.98,1,1,Sat,Dinner,2,1_1
18.29,3.76,1,1,Sat,Dinner,4,1_1
17.59,2.64,1,0,Sat,Dinner,3,0_1
20.08,3.15,1,0,Sat,Dinner,3,0_1
16.45,2.47,0,0,Sat,Dinner,2,0_0
3.07,1.0,0,1,Sat,Dinner,1,1_0
20.23,2.01,1,0,Sat,Dinner,2,0_1
15.01,2.09,1,1,Sat,Dinner,2,1_1
12.02,1.97,1,0,Sat,Dinner,2,0_1
17.07,3.0,0,0,Sat,Dinner,3,0_0
26.86,3.14,0,1,Sat,Dinner,2,1_0
25.28,5.0,0,1,Sat,Dinner,2,1_0
14.73,2.2,0,0,Sat,Dinner,2,0_0
10.51,1.25,1,0,Sat,Dinner,2,0_1
17.92,3.08,1,1,Sat,Dinner,2,1_1
27.2,4.0,1,0,Thur,Lunch,4,0_1
22.76,3.0,1,0,Thur,Lunch,2,0_1
17.29,2.71,1,0,Thur,Lunch,2,0_1
19.44,3.0,1,1,Thur,Lunch,2,1_1
16.66,3.4,1,0,Thur,Lunch,2,0_1
10.07,1.83,0,0,Thur,Lunch,1,0_0
32.68,5.0,1,1,Thur,Lunch,2,1_1
15.98,2.03,1,0,Thur,Lunch,2,0_1
34.83,5.17,0,0,Thur,Lunch,4,0_0
13.03,2.0,1,0,Thur,Lunch,2,0_1
18.28,4.0,1,0,Thur,Lunch,2,0_1
24.71,5.85,1,0,Thur,Lunch,2,0_1
21.16,3.0,1,0,Thur,Lunch,2,0_1
28.97,3.0,1,1,Fri,Dinner,2,1_1
22.49,3.5,1,0,Fri,Dinner,2,0_1
5.75,1.0,0,1,Fri,Dinner,2,1_0
16.32,4.3,0,1,Fri,Dinner,2,1_0
22.75,3.25,0,0,Fri,Dinner,2,0_0
40.17,4.73,1,1,Fri,Dinner,4,1_1
27.28,4.0,1,1,Fri,Dinner,2,1_1
12.03,1.5,1,1,Fri,Dinner,2,1_1
21.01,3.0,1,1,Fri,Dinner,2,1_1
12.46,1.5,1,0,Fri,Dinner,2,0_1
11.35,2.5,0,1,Fri,Dinner,2,1_0
15.38,3.0,0,1,Fri,Dinner,2,1_0
44.3,2.5,0,1,Sat,Dinner,3,1_0
22.42,3.48,0,1,Sat,Dinner,2,1_0
20.92,4.08,0,0,Sat,Dinner,2,0_0
15.36,1.64,1,1,Sat,Dinner,2,1_1
20.49,4.06,1,1,Sat,Dinner,2,1_1
25.21,4.29,1,1,Sat,Dinner,2,1_1
18.24,3.76,1,0,Sat,Dinner,2,0_1
14.31,4.0,0,1,Sat,Dinner,2,1_0
14.0,3.0,1,0,Sat,Dinner,2,0_1
7.25,1.0,0,0,Sat,Dinner,1,0_0
38.07,4.0,1,0,Sun,Dinner,3,0_1
23.95,2.55,1,0,Sun,Dinner,2,0_1
25.71,4.0,0,0,Sun,Dinner,3,0_0
17.31,3.5,0,0,Sun,Dinner,2,0_0
29.93,5.07,1,0,Sun,Dinner,4,0_1
10.65,1.5,0,0,Thur,Lunch,2,0_0
12.43,1.8,0,0,Thur,Lunch,2,0_0
24.08,2.92,0,0,Thur,Lunch,4,0_0
11.69,2.31,1,0,Thur,Lunch,2,0_1
13.42,1.68,0,0,Thur,Lunch,2,0_0
14.26,2.5,1,0,Thur,Lunch,2,0_1
15.95,2.0,1,0,Thur,Lunch,2,0_1
12.48,2.52,0,0,Thur,Lunch,2,0_0
29.8,4.2,0,0,Thur,Lunch,6,0_0
8.52,1.48,1,0,Thur,Lunch,2,0_1
14.52,2.0,0,0,Thur,Lunch,2,0_0
11.38,2.0,0,0,Thur,Lunch,2,0_0
22.82,2.18,1,0,Thur,Lunch,3,0_1
19.08,1.5,1,0,Thur,Lunch,2,0_1
20.27,2.83,0,0,Thur,Lunch,2,0_0
11.17,1.5,0,0,Thur,Lunch,2,0_0
12.26,2.0,0,0,Thur,Lunch,2,0_0
18.26,3.25,0,0,Thur,Lunch,2,0_0
8.51,1.25,0,0,Thur,Lunch,2,0_0
10.33,2.0,0,0,Thur,Lunch,2,0_0
14.15,2.0,0,0,Thur,Lunch,2,0_0
16.0,2.0,1,1,Thur,Lunch,2,1_1
13.16,2.75,0,0,Thur,Lunch,2,0_0
17.47,3.5,0,0,Thur,Lunch,2,0_0
34.3,6.7,1,0,Thur,Lunch,6,0_1
41.19,5.0,1,0,Thur,Lunch,5,0_1
27.05,5.0,0,0,Thur,Lunch,6,0_0
16.43,2.3,0,0,Thur,Lunch,2,0_0
8.35,1.5,0,0,Thur,Lunch,2,0_0
18.64,1.36,0,0,Thur,Lunch,3,0_0
11.87,1.63,0,0,Thur,Lunch,2,0_0
9.78,1.73,1,0,Thur,Lunch,2,0_1
7.51,2.0,1,0,Thur,Lunch,2,0_1
14.07,2.5,1,0,Sun,Dinner,2,0_1
13.13,2.0,1,0,Sun,Dinner,2,0_1
17.26,2.74,1,0,Sun,Dinner,3,0_1
24.55,2.0,1,0,Sun,Dinner,4,0_1
19.77,2.0,1,0,Sun,Dinner,4,0_1
29.85,5.14,0,0,Sun,Dinner,5,0_0
48.17,5.0,1,0,Sun,Dinner,6,0_1
25.0,3.75,0,0,Sun,Dinner,4,0_0
13.39,2.61,0,0,Sun,Dinner,2,0_0
16.49,2.0,1,0,Sun,Dinner,4,0_1
21.5,3.5,1,0,Sun,Dinner,4,0_1
12.66,2.5,1,0,Sun,Dinner,2,0_1
16.21,2.0,0,0,Sun,Dinner,3,0_0
13.81,2.0,1,0,Sun,Dinner,2,0_1
17.51,3.0,0,1,Sun,Dinner,2,1_0
24.52,3.48,1,0,Sun,Dinner,3,0_1
20.76,2.24,1,0,Sun,Dinner,2,0_1
31.71,4.5,1,0,Sun,Dinner,4,0_1
10.59,1.61,0,1,Sat,Dinner,2,1_0
10.63,2.0,0,1,Sat,Dinner,2,1_0
50.81,10.0,1,1,Sat,Dinner,3,1_1
15.81,3.16,1,1,Sat,Dinner,2,1_1
7.25,5.15,1,1,Sun,Dinner,2,1_1
31.85,3.18,1,1,Sun,Dinner,2,1_1
16.82,4.0,1,1,Sun,Dinner,2,1_1
32.9,3.11,1,1,Sun,Dinner,2,1_1
17.89,2.0,1,1,Sun,Dinner,2,1_1
14.48,2.0,1,1,Sun,Dinner,2,1_1
9.6,4.0,0,1,Sun,Dinner,2,1_0
34.63,3.55,1,1,Sun,Dinner,2,1_1
34.65,3.68,1,1,Sun,Dinner,4,1_1
23.33,5.65,1,1,Sun,Dinner,2,1_1
45.35,3.5,1,1,Sun,Dinner,3,1_1
23.17,6.5,1,1,Sun,Dinner,4,1_1
40.55,3.0,1,1,Sun,Dinner,2,1_1
20.69,5.0,1,0,Sun,Dinner,5,0_1
20.9,3.5,0,1,Sun,Dinner,3,1_0
30.46,2.0,1,1,Sun,Dinner,5,1_1
18.15,3.5,0,1,Sun,Dinner,3,1_0
23.1,4.0,1,1,Sun,Dinner,3,1_1
15.69,1.5,1,1,Sun,Dinner,2,1_1
19.81,4.19,0,1,Thur,Lunch,2,1_0
28.44,2.56,1,1,Thur,Lunch,2,1_1
15.48,2.02,1,1,Thur,Lunch,2,1_1
16.58,4.0,1,1,Thur,Lunch,2,1_1
7.56,1.44,1,0,Thur,Lunch,2,0_1
10.34,2.0,1,1,Thur,Lunch,2,1_1
43.11,5.0,0,1,Thur,Lunch,4,1_0
13.0,2.0,0,1,Thur,Lunch,2,1_0
13.51,2.0,1,1,Thur,Lunch,2,1_1
18.71,4.0,1,1,Thur,Lunch,3,1_1
12.74,2.01,0,1,Thur,Lunch,2,1_0
13.0,2.0,0,1,Thur,Lunch,2,1_0
16.4,2.5,0,1,Thur,Lunch,2,1_0
20.53,4.0,1,1,Thur,Lunch,4,1_1
16.47,3.23,0,1,Thur,Lunch,3,1_0
26.59,3.41,1,1,Sat,Dinner,3,1_1
38.73,3.0,1,1,Sat,Dinner,4,1_1
24.27,2.03,1,1,Sat,Dinner,2,1_1
12.76,2.23,0,1,Sat,Dinner,2,1_0
30.06,2.0,1,1,Sat,Dinner,3,1_1
25.89,5.16,1,1,Sat,Dinner,4,1_1
48.33,9.0,1,0,Sat,Dinner,4,0_1
13.27,2.5,0,1,Sat,Dinner,2,1_0
28.17,6.5,0,1,Sat,Dinner,3,1_0
12.9,1.1,0,1,Sat,Dinner,2,1_0
28.15,3.0,1,1,Sat,Dinner,5,1_1
11.59,1.5,1,1,Sat,Dinner,2,1_1
7.74,1.44,1,1,Sat,Dinner,2,1_1
30.14,3.09,0,1,Sat,Dinner,4,1_0
12.16,2.2,1,1,Fri,Lunch,2,1_1
13.42,3.48,0,1,Fri,Lunch,2,1_0
8.58,1.92,1,1,Fri,Lunch,1,1_1
15.98,3.0,0,0,Fri,Lunch,3,0_0
13.42,1.58,1,1,Fri,Lunch,2,1_1
16.27,2.5,0,1,Fri,Lunch,2,1_0
10.09,2.0,0,1,Fri,Lunch,2,1_0
20.45,3.0,1,0,Sat,Dinner,4,0_1
13.28,2.72,1,0,Sat,Dinner,2,0_1
22.12,2.88,0,1,Sat,Dinner,2,1_0
24.01,2.0,1,1,Sat,Dinner,4,1_1
15.69,3.0,1,1,Sat,Dinner,3,1_1
11.61,3.39,1,0,Sat,Dinner,2,0_1
10.77,1.47,1,0,Sat,Dinner,2,0_1
15.53,3.0,1,1,Sat,Dinner,2,1_1
10.07,1.25,1,0,Sat,Dinner,2,0_1
12.6,1.0,1,1,Sat,Dinner,2,1_1
32.83,1.17,1,1,Sat,Dinner,2,1_1
35.83,4.67,0,0,Sat,Dinner,3,0_0
29.03,5.92,1,0,Sat,Dinner,3,0_1
27.18,2.0,0,1,Sat,Dinner,2,1_0
22.67,2.0,1,1,Sat,Dinner,2,1_1
17.82,1.75,1,0,Sat,Dinner,2,0_1
18.78,3.0,0,0,Thur,Dinner,2,0_0
